Entry,Part of Speech,Family Member(s),Family PoS,Meaning,Rec/Prod
result,n,resulting,adj,"scientific; sport",Prod
retire,v,"retired; retirement","adj; n",end one's career,Prod
review,"v, n",,,give opinion,Prod
revise,v,revision,n,,Prod
right,adj,,,morally acceptable,Rec
risk,"n, v",,,,Prod
rob,v,robber,n,,Prod
role,n,,,function; purpose,Rec
romantic,adj,romance,n,,Prod
room,n,,,space,Prod
rope,n,,,,Rec
rough,adj,roughly,adv,not exact; not exactly,Rec
rub out sth or rub sth out,,,,,Prod
rubber,n,,,substance,Rec
rubbish,n,,,waste; bad quality,Prod
rude,adj,,,,Prod
rule,n,,,law; regulation,Prod
rule,"v, n",ruler,n,"reign; govern",Rec
run,v,,,to operate; manage a business,Prod
run out of,,,,,Prod
rural,adj,,,,Prod
rush,"v, n",,,,Rec
salary,n,,,,Prod
sample,n,,,,Prod
satisfy,v,"satisfaction; satisfactory; satisfied","n; adj; adj",,Prod
scale,n,,,size; ratio,Rec
scandal,n,,,,Prod
scene,n,scenery,n,in play/film etc,Rec
schedule,n,,,,Rec
scratch,"n, v",,,hurt; damage,Rec
sculpture,n,,,,Prod
see off sb or see sb off,,,,,Prod
seldom,adv,,,,Prod
selfish,,,,,Prod
sense,n,sensible,adj,reason; good judgement,Prod
sensitive,adj,sensitivity,n,,Prod
separate,v,,,husband/wife,Rec
server,n,,,computing,Rec
service,n,serve,v,"government system; department; do work that helps society",Prod
set,v,,,fixed; predetermined,Rec
set up sth or set sth up,,set out sth; set sth out,,Rec
setting,n,set,v,book/film etc.; story; film/play,Rec
shade,n,,,no sunlight,Prod
shake your head,,,,,Prod
shame,n,,,regret; disappointment,Prod
shaming,n,,,,Rec
shave,"v, n",,,,Prod
shelter,"n, v",,,,Rec
shore,n,,,,Rec
shortly,adv,,,,Prod
show sb around / round,,,,,Rec
show up,,,,,Rec
shut (sb) up,,,,,Prod
shut (sth) down or shut down (sth),,,,,Prod
side,n,,,facet of something or somebody,Rec
sidewalk,n,,,,Rec
sigh,"v, n",,,,Prod
sign,v,signature,n,,Prod
signal,n,,,traffic; railway etc,Prod
